graph,strategy,max_flow,time_ns
10graph_68_25_1000.dimacs,bfs,204000,7046680976
10graph_68_25_1000.dimacs,dfs,204000,23682328945
10graph_68_25_1000.dimacs,fat,204000,500446784
10graph_68_25_1000.dimacs,scaling,204000,317220003
10graph_68_25_1000.dimacs,ritt,204000,58294929
11graph_70_25_1000.dimacs,bfs,210000,8036538831
11graph_70_25_1000.dimacs,dfs,210000,27123417683
11graph_70_25_1000.dimacs,fat,210000,539084975
11graph_70_25_1000.dimacs,scaling,210000,344673173
11graph_70_25_1000.dimacs,ritt,210000,58868349
12graph_72_25_1000.dimacs,bfs,216000,8963952378
12graph_72_25_1000.dimacs,dfs,216000,31846692464
12graph_72_25_1000.dimacs,fat,216000,644125846
12graph_72_25_1000.dimacs,scaling,216000,375768622
12graph_72_25_1000.dimacs,ritt,216000,63654113
13graph_74_25_1000.dimacs,bfs,222000,10055229745
